##################################################################################################
# Global oscillation parameters of the SYD pipeline for KASC WG1 stars, based on 2015 analysis 
# of all SC data prepared by Rasmus Handberg & Mikkel Lund. 
#
# Solar reference values of SYD pipeline:
# Dnu(Sun): 135.1 +/- 0.1 muHz
# numax(Sun): 3090 +/- 30 muHz
# NOTE: uncertainties are the scatter of 111 30d subsets of VIRGO green channel data 
# (see Huber et al. 2011)
#
# range_low + range_up: minimum + maximum frequency used to calculate Dnu
# numax + sig_numax: frequency of maximum power + 1-sigma uncertainty
# Dnu + sig_Dnu: large frequency separation + 1-sigma uncertainty
# Length: Length of input SC time series in days
# DetFlag: Status flag of detection (0=good,1=numax unreliable,2=Dnu unreliable)
# SrcFlag: Source of detection (0=reprocessed 2015 data, 1=Chaplin et al. 2014 analysis)
#
# DH  Jul 30 2015
##################################################################################################
    KIC    |  range_low |  range_up  |   numax    | sig_numax |   dnu    | sig_dnu | Length  | DetFlag | SrcFlag
   6863041  |   450.000  |  1100.000  |   791.230  |   38.019  |  42.899  |  0.548  |   92.4  |  0      |  0
   6933899  |   807.677  |  1974.323  |  1384.703  |    5.791  |  72.139  |  0.024  | 1046.4  |  0      |  0
   6947945  |   422.129  |  1031.871  |   730.514  |   13.715  |  43.660  |  1.244  |   25.9  |  0      |  0
   7019341  |   945.871  |  2312.129  |  1656.996  |   76.887  |  80.008  |  1.321  |   28.9  |  0      |  0
   7038145  |   443.613  |  1084.387  |   750.995  |   40.706  |  42.455  |  1.193  |   29.6  |  0      |  0
   7103006  |   652.645  |  1595.355  |  1168.402  |    7.799  |  59.603  |  0.052  |  856.2  |  0      |  0
   7106245  |  1335.484  |  3264.516  |  2440.879  |   39.406  | 111.337  |  0.135  |  919.1  |  0      |  0
   7107778  |   307.161  |   750.839  |   538.946  |    3.798  |  31.938  |  0.252  |  596.8  |  0      |  0
   7133688  |   665.419  |  1626.581  |  1133.731  |  150.959  |  59.224  |  2.001  |   25.9  |  0      |  0
   7174470  |   505.161  |  1234.839  |   930.091  |   80.136  |  47.136  |  1.172  |   33.4  |  0      |  0
   7174707  |   476.129  |  1163.871  |   816.137  |    4.109  |  47.315  |  0.044  | 1050.5  |  0      |  0
